2026-08-28T21:31:50.066074+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (4.1ms) | 1.1.1.1 (8.7ms) | 9.9.9.9 (9.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:31:52.113903+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (15.7ms) | 1.1.1.1 (15.8ms) | 9.9.9.9 (18.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:31:54.208073+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (63.3ms) | 1.1.1.1 (66.2ms) | 9.9.9.9 (64.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:31:56.307873+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (70.0ms) | 1.1.1.1 (69.7ms) | 9.9.9.9 (69.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:31:58.404453+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.6ms) | 1.1.1.1 (58.2ms) | 9.9.9.9 (58.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +3.6ms | N/A | +0.0% | OK
2026-08-28T21:32:00.500183+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.5ms) | 1.1.1.1 (58.6ms) | 9.9.9.9 (59.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | +0.1ms | +3.1ms | N/A | +0.0% | OK
2026-08-28T21:32:02.597191+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.4ms) | 1.1.1.1 (57.3ms) | 9.9.9.9 (56.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +3.0ms | N/A | +0.0% | OK
2026-08-28T21:32:04.694808+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (66.1ms) | 1.1.1.1 (67.6ms) | 9.9.9.9 (67.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | +0.1ms | +2.9ms | N/A | +0.0% | OK
2026-08-28T21:32:06.792859+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (76.3ms) | 1.1.1.1 (77.7ms) | 9.9.9.9 (79.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | +0.2ms | +2.5ms | N/A | +0.0% | OK
2026-08-28T21:32:08.890091+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.8ms) | 1.1.1.1 (55.7ms) | 9.9.9.9 (57.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | +0.2ms | +2.5ms | N/A | +0.0% | OK
2026-08-28T21:32:10.986407+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (9.0ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (11.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | +0.2ms | +2.4ms | N/A | +0.0% | OK
2026-08-28T21:32:13.083584+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.5ms) | 1.1.1.1 (58.3ms) | 9.9.9.9 (57.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | +0.2ms | +2.4ms | N/A | +0.0% | OK
2026-08-28T21:32:15.180871+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.3ms) | 1.1.1.1 (61.5ms) | 9.9.9.9 (59.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | +0.2ms | +2.4ms | N/A | +0.0% | OK
2026-08-28T21:32:17.277660+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.4ms) | 1.1.1.1 (62.4ms) | 9.9.9.9 (62.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | +0.1ms | +2.3ms | N/A | +0.0% | OK
2026-08-28T21:32:19.380568+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.4ms) | 1.1.1.1 (69.3ms) | 9.9.9.9 (67.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.3ms | N/A | +0.0% | OK
2026-08-28T21:32:21.472102+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (48.8ms) | 1.1.1.1 (50.4ms) | 9.9.9.9 (50.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.3ms | N/A | +0.0% | OK
2026-08-28T21:32:23.568681+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.4ms) | 1.1.1.1 (61.4ms) | 9.9.9.9 (61.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.3ms | N/A | +0.0% | OK
2026-08-28T21:32:25.664779+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.6ms) | 1.1.1.1 (61.3ms) | 9.9.9.9 (59.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.2ms | N/A | +0.0% | OK
2026-08-28T21:32:27.767273+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (65.8ms) | 1.1.1.1 (63.5ms) | 9.9.9.9 (61.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.2ms | N/A | +0.0% | OK
2026-08-28T21:32:29.861180+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.4ms) | 1.1.1.1 (58.5ms) | 9.9.9.9 (59.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.2ms | N/A | +0.0% | OK
2026-08-28T21:32:31.957185+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (12.1ms) | 1.1.1.1 (13.9ms) | 9.9.9.9 (15.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:32:34.055446+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.6ms) | 1.1.1.1 (65.4ms) | 9.9.9.9 (63.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:32:36.152140+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.3ms) | 1.1.1.1 (57.6ms) | 9.9.9.9 (57.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:32:38.251439+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (63.2ms) | 1.1.1.1 (67.9ms) | 9.9.9.9 (65.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.0ms | N/A | +0.0% | OK
