2026-08-28T21:36:52.078993+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (4.5ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (11.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:36:54.162846+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (5.7ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (9.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:36:56.210747+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (8.7ms) | 1.1.1.1 (12.2ms) | 9.9.9.9 (12.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:36:58.295969+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.3ms) | 1.1.1.1 (55.5ms) | 9.9.9.9 (53.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:37:00.394978+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.0ms) | 1.1.1.1 (55.8ms) | 9.9.9.9 (53.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +3.4ms | N/A | +0.0% | OK
2026-08-28T21:37:02.492051+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.9ms) | 1.1.1.1 (55.3ms) | 9.9.9.9 (53.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -1.0ms | +3.3ms | N/A | +0.0% | OK
2026-08-28T21:37:04.588112+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (44.8ms) | 1.1.1.1 (43.8ms) | 9.9.9.9 (43.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +3.2ms | N/A | +0.0% | OK
2026-08-28T21:37:06.684883+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.6ms) | 1.1.1.1 (56.3ms) | 9.9.9.9 (55.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.6ms | +3.2ms | N/A | +0.0% | OK
2026-08-28T21:37:08.783101+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.4ms) | 1.1.1.1 (51.7ms) | 9.9.9.9 (48.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.8ms | +3.1ms | N/A | +0.0% | OK
2026-08-28T21:37:10.879539+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (68.9ms) | 1.1.1.1 (66.8ms) | 9.9.9.9 (67.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.6ms | +2.9ms | N/A | +0.0% | OK
2026-08-28T21:37:12.977055+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (8.9ms) | 1.1.1.1 (10.5ms) | 9.9.9.9 (11.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.9ms | N/A | +0.0% | OK
2026-08-28T21:37:15.073581+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.9ms) | 1.1.1.1 (54.6ms) | 9.9.9.9 (54.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.8ms | N/A | +0.0% | OK
2026-08-28T21:37:17.170693+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.1ms) | 1.1.1.1 (57.3ms) | 9.9.9.9 (57.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.7ms | N/A | +0.0% | OK
2026-08-28T21:37:19.270079+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.7ms) | 1.1.1.1 (55.0ms) | 9.9.9.9 (55.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +2.6ms | N/A | +0.0% | OK
2026-08-28T21:37:21.368567+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.6ms) | 1.1.1.1 (58.7ms) | 9.9.9.9 (56.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.6ms | N/A | +0.0% | OK
2026-08-28T21:37:23.463257+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (50.6ms) | 1.1.1.1 (51.0ms) | 9.9.9.9 (50.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.5ms | N/A | +0.0% | OK
2026-08-28T21:37:25.559032+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.6ms) | 1.1.1.1 (55.1ms) | 9.9.9.9 (53.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | N/A | +0.0% | OK
2026-08-28T21:37:27.659394+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.3ms) | 1.1.1.1 (58.1ms) | 9.9.9.9 (59.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.3ms | N/A | +0.0% | OK
2026-08-28T21:37:29.754777+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (65.3ms) | 1.1.1.1 (65.3ms) | 9.9.9.9 (66.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.2ms | N/A | +0.0% | OK
2026-08-28T21:37:31.852312+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.8ms) | 1.1.1.1 (55.7ms) | 9.9.9.9 (54.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.2ms | N/A | +0.0% | OK
2026-08-28T21:37:33.953570+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (5.5ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (9.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.2ms | N/A | +0.0% | OK
2026-08-28T21:37:36.045177+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (51.9ms) | 1.1.1.1 (52.2ms) | 9.9.9.9 (51.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.2ms | N/A | +0.0% | OK
2026-08-28T21:37:38.142402+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.4ms) | 1.1.1.1 (55.6ms) | 9.9.9.9 (55.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:37:40.237992+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.8ms) | 1.1.1.1 (60.4ms) | 9.9.9.9 (58.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:37:42.338204+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.4ms) | 1.1.1.1 (61.2ms) | 9.9.9.9 (60.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:37:44.433683+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.5ms) | 1.1.1.1 (59.3ms) | 9.9.9.9 (58.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:37:46.532610+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.2ms) | 1.1.1.1 (56.9ms) | 9.9.9.9 (58.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:37:48.629849+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.7ms) | 1.1.1.1 (63.3ms) | 9.9.9.9 (64.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:37:50.730722+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.2ms) | 1.1.1.1 (61.8ms) | 9.9.9.9 (61.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:37:52.825475+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.9ms) | 1.1.1.1 (60.1ms) | 9.9.9.9 (58.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.0ms | -0.4ms | +0.0% | OK
2026-08-28T21:37:54.922219+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (7.0ms) | 1.1.1.1 (8.1ms) | 9.9.9.9 (11.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.5ms | -0.4ms | +0.0% | WARN
2026-08-28T21:37:57.017207+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.2ms) | 1.1.1.1 (61.8ms) | 9.9.9.9 (61.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.5ms | -0.4ms | +0.0% | WARN
2026-08-28T21:37:59.114063+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.5ms) | 1.1.1.1 (55.5ms) | 9.9.9.9 (54.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:01.210070+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.4ms) | 1.1.1.1 (62.8ms) | 9.9.9.9 (60.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:03.309446+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (65.4ms) | 1.1.1.1 (64.7ms) | 9.9.9.9 (66.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:05.405645+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.1ms) | 1.1.1.1 (59.8ms) | 9.9.9.9 (59.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:07.502762+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.2ms) | 1.1.1.1 (59.1ms) | 9.9.9.9 (57.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:09.600851+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.2ms) | 1.1.1.1 (62.5ms) | 9.9.9.9 (62.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:11.696896+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.1ms) | 1.1.1.1 (58.5ms) | 9.9.9.9 (58.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.2ms | -0.4ms | +0.0% | OK
