# ==============================================================================
# ping_checker telemetry capture log
# script_version: 1.4.0
# schema_version: 4
# started_at: 2026-09-02T14:51:04.687311+02:00
# host: Arjans-MacBook-Pro.local (arm64, macOS 26.6.2 (25G83))
# interface: en0 (Wi-Fi, SSID: <redacted>, BSSID: <redacted>, Channel 100 (5GHz), RSSI: -44 dBm, Noise: -91 dBm, SNR: 47 dB, TxRate: 1200.0 Mbps)
# power_profile: Source=AC Power, LowPowerMode=Disabled
# keep_awake_mode: off
# vpn_agent: Zscaler (ProcessActive=False, TunnelIface=None, VirtualGW=N/A)
# probe_methodology: Dual-Path Concurrent ICMP Echo.
#   - Direct ISP Path: Bound to physical interface using ping -S <Local_IP> (bypasses tunnel).
#   - Tunnel Path: Standard routed ping to target (traverses default route / virtual tunnel).
#   - Overhead Delta: Direct_ISP_RTT - LAN_GW_RTT. Negative values occur during Wi-Fi 802.11 PSM DTIM wake-ups.
# target_pool: 1.1.1.1, 1.0.0.1, 8.8.8.8, 8.8.4.4, 9.9.9.9, 149.112.112.112, 208.67.222.222, 208.67.220.220 (Rotated periodically to prevent remote edge rate-limiting)
# ==============================================================================
Timestamp_ISO,Interface,Medium,Local_IP,LAN_GW_IP,LAN_GW_RTT_ms,Channel,RSSI_dBm,Target_IP,Target_Alias,Target_Pool_Index,Direct_ISP_RTT_ms,Tunnel_RTT_ms,Direct_Route_Verified,Tunnel_Route_Verified,Tunnel_Virtual_Next_Hop,Status,Fault_Domain,Overhead_Delta_p50_ms,Overhead_Delta_p95_ms,Overhead_Baseline_p50_ms,Overhead_Loss_Delta_pct,Overhead_Alert,Overhead_Alert_Reason
2026-09-02T14:51:04.837502+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,6.1,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,8.0,8.5,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-02T14:51:06.883829+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.6,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,9.8,7.5,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-02T14:51:08.926742+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,4.1,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,9.8,7.5,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-02T14:51:10.974984+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,4.4,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,9.5,8.5,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-02T14:51:13.035023+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,21.3,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,22.9,22.5,YES,NO,N/A,HEALTHY,None,-0.9,1.1,,0.0,OK,N/A
2026-09-02T14:51:15.131215+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,60.1,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,57.6,55.2,YES,NO,N/A,HEALTHY,None,-1.6,1.1,,0.0,OK,N/A
2026-09-02T14:51:17.230413+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.6,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,61.3,58.6,YES,NO,N/A,HEALTHY,None,-2.2,1.0,,0.0,OK,N/A
2026-09-02T14:51:19.326209+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,56.5,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,58.4,56.1,YES,NO,N/A,HEALTHY,None,-2.2,1.0,,0.0,OK,N/A
2026-09-02T14:51:21.427895+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.8,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,64.6,62.5,YES,NO,N/A,HEALTHY,None,-2.2,0.9,,0.0,OK,N/A
2026-09-02T14:51:23.521942+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,54.5,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,58.1,55.8,YES,NO,N/A,HEALTHY,None,-2.2,0.9,,0.0,OK,N/A
2026-09-02T14:51:25.635968+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,7.6,7.6,YES,NO,N/A,HEALTHY,None,-2.2,0.6,,0.0,OK,N/A
2026-09-02T14:51:27.715781+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,37.4,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,40.8,38.5,YES,NO,N/A,HEALTHY,None,-2.2,0.6,,0.0,OK,N/A
2026-09-02T14:51:29.810950+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,60.5,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,60.2,58.1,YES,NO,N/A,HEALTHY,None,-2.2,0.6,,0.0,OK,N/A
2026-09-02T14:51:31.926221+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,59.2,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,77.0,74.8,YES,NO,N/A,HEALTHY,None,-2.2,0.6,,0.0,OK,N/A
2026-09-02T14:51:34.006948+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,42.6,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,44.1,41.8,YES,NO,N/A,HEALTHY,None,-2.2,0.6,,0.0,OK,N/A
2026-09-02T14:51:36.112142+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,56.0,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,64.7,62.3,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:38.199554+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,60.2,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,60.8,59.3,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:40.301081+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,73.6,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,73.4,71.9,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:42.395070+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,54.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,53.4,53.2,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:44.492542+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.0,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,59.1,56.6,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:46.608465+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,6.7,7.2,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:48.686239+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,42.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,40.3,38.3,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:50.786810+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,65.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,65.0,64.2,YES,NO,N/A,HEALTHY,None,-2.1,0.5,,0.0,OK,N/A
2026-09-02T14:51:52.881969+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,55.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,57.5,55.0,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:54.978310+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,57.4,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,58.3,56.0,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:57.074196+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,57.7,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,57.3,54.9,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:51:59.173898+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.7,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,62.0,59.9,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:52:01.268315+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,54.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,56.2,53.9,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:52:03.365075+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,60.2,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,59.4,56.6,YES,NO,N/A,HEALTHY,None,-2.2,0.5,,0.0,OK,N/A
2026-09-02T14:52:05.465888+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,61.7,59.6,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:07.582508+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,4.3,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,7.6,7.8,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:09.659048+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,36.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,38.6,36.2,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:11.754820+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.1,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,60.1,58.7,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:13.851693+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,62.6,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,62.1,60.1,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:15.949377+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,59.8,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,61.0,58.9,YES,NO,N/A,HEALTHY,None,-2.1,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:18.048543+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,60.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,62.1,62.7,YES,NO,N/A,HEALTHY,None,-2.1,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:20.145871+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,56.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,57.8,57.5,YES,NO,N/A,HEALTHY,None,-2.1,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:22.244782+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,59.5,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,60.5,62.7,YES,NO,N/A,HEALTHY,None,-2.1,0.7,-2.2,0.0,OK,N/A
2026-09-02T14:52:24.340002+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,59.9,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,60.5,58.2,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:26.436520+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,56.7,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,57.9,56.4,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:28.553332+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.8,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,9.0,7.6,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:30.635436+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,37.8,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,45.2,42.8,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:32.731999+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,53.5,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,59.8,57.5,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:34.823139+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,54.6,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,55.6,53.2,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:36.922239+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,59.0,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,61.2,58.8,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:39.018710+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,60.6,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,58.2,55.8,YES,NO,N/A,HEALTHY,None,-2.2,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:41.117227+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,55.0,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,58.0,55.9,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:43.213308+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,57.4,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,57.3,55.1,YES,NO,N/A,HEALTHY,None,-2.2,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:45.316764+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,57.7,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,64.2,62.1,YES,NO,N/A,HEALTHY,None,-2.1,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:47.407477+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,51.7,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,51.8,49.5,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:49.529332+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,4.0,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,7.2,7.8,YES,NO,N/A,HEALTHY,None,-2.1,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:51.606500+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,36.0,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,38.3,36.1,YES,NO,N/A,HEALTHY,None,-2.2,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:53.698100+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,55.5,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,55.2,52.5,YES,NO,N/A,HEALTHY,None,-2.2,0.6,-2.2,0.0,OK,N/A
2026-09-02T14:52:55.796905+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,59.0,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,60.6,58.2,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:57.895004+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.4,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,59.1,56.9,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:52:59.992681+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.5,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,57.7,55.4,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:53:02.086809+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,56.2,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,55.4,52.9,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:53:04.192989+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,69.7,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,67.1,64.8,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:53:06.282155+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,49.0,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,50.0,47.7,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
2026-09-02T14:53:08.378461+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,58.3,100 (5GHz),-43,8.8.4.4,Google-Secondary,3,58.4,56.1,YES,NO,N/A,HEALTHY,None,-2.2,0.5,-2.2,0.0,OK,N/A
