2026-08-29T00:21:31.317405+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.9ms) | 1.1.1.1 (9.9ms) | 9.9.9.9 (9.3ms) | 100.64.0.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-29T00:21:34.374632+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.3ms) | 1.1.1.1 (8.8ms) | 9.9.9.9 (10.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-29T00:21:37.476250+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (54.4ms) | 1.1.1.1 (54.6ms) | 9.9.9.9 (53.3ms) | 100.64.0.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-29T00:21:40.616136+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.7ms) | 1.1.1.1 (95.3ms) | 9.9.9.9 (93.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-29T00:21:43.653394+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.0ms) | 1.1.1.1 (8.2ms) | 9.9.9.9 (9.7ms) | 100.64.0.1 | YES | NO | HEALTHY | None | -0.5ms | +1.9ms | N/A | +0.0% | OK
2026-08-29T00:21:46.698026+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.8ms) | 1.1.1.1 (9.6ms) | 9.9.9.9 (9.7ms) | 100.64.0.1 | YES | NO | HEALTHY | None | -0.2ms | +1.9ms | N/A | +0.0% | OK
2026-08-29T00:21:49.757329+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.9ms) | 1.1.1.1 (10.4ms) | 9.9.9.9 (11.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.1ms | +1.9ms | N/A | +0.0% | OK
2026-08-29T00:21:51.799643+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (3.7ms) | 1.1.1.1 (8.2ms) | 9.9.9.9 (10.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +2.3ms | N/A | +0.0% | OK
2026-08-29T00:21:54.859768+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.7ms) | 1.1.1.1 (9.4ms) | 9.9.9.9 (11.4ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +2.1ms | N/A | +0.0% | OK
2026-08-29T00:21:57.920403+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (21.4ms) | 1.1.1.1 (21.2ms) | 9.9.9.9 (18.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +2.1ms | N/A | +0.0% | OK
2026-08-29T00:22:01.068773+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (32.9ms) | 1.1.1.1 (32.9ms) | 9.9.9.9 (33.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.3ms | +2.1ms | N/A | +0.0% | OK
