2026-08-28T18:03:24.700986+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.7ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (19.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T18:03:27.747419+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.2ms) | 1.1.1.1 (12.6ms) | 9.9.9.9 (10.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T18:03:30.831713+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.3ms) | 1.1.1.1 (10.7ms) | 9.9.9.9 (38.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T18:03:32.897467+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.7ms) | 1.1.1.1 (9.3ms) | 9.9.9.9 (15.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T18:03:35.957991+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (13.9ms) | 1.1.1.1 (11.3ms) | 9.9.9.9 (15.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +6.0ms | +41.2ms | N/A | +0.0% | OK
2026-08-28T18:03:39.001827+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.6ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (9.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +5.2ms | +40.3ms | N/A | +0.0% | OK
2026-08-28T18:03:42.062295+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.4ms) | 1.1.1.1 (10.9ms) | 9.9.9.9 (9.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +4.5ms | +39.3ms | N/A | +0.0% | OK
2026-08-28T18:03:45.105575+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.1ms) | 1.1.1.1 (10.2ms) | 9.9.9.9 (9.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +1.9ms | +38.4ms | N/A | +0.0% | OK
2026-08-28T18:03:48.156104+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.2ms) | 1.1.1.1 (10.8ms) | 9.9.9.9 (11.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +37.4ms | N/A | +0.0% | OK
2026-08-28T18:03:51.220982+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (14.2ms) | 1.1.1.1 (11.6ms) | 9.9.9.9 (19.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +2.7ms | +36.5ms | N/A | +0.0% | OK
2026-08-28T18:03:54.324774+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.5ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (9.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +35.5ms | N/A | +0.0% | OK
