2026-08-28T21:11:21.080615+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.5ms) | 1.1.1.1 (9.1ms) | 9.9.9.9 (12.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:11:24.136965+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.7ms) | 1.1.1.1 (10.9ms) | 9.9.9.9 (9.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:11:27.197159+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.5ms) | 1.1.1.1 (12.2ms) | 9.9.9.9 (11.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:11:30.254401+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.5ms) | 1.1.1.1 (10.1ms) | 9.9.9.9 (9.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | N/A | N/A | N/A | +0.0% | OK
2026-08-28T21:11:33.292007+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.7ms) | 1.1.1.1 (9.9ms) | 9.9.9.9 (9.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.7ms | +6.5ms | N/A | +0.0% | OK
2026-08-28T21:11:36.350257+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.6ms) | 1.1.1.1 (10.5ms) | 9.9.9.9 (12.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.6ms | +4.9ms | N/A | +0.0% | OK
2026-08-28T21:11:39.418213+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.7ms) | 1.1.1.1 (11.2ms) | 9.9.9.9 (11.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.5ms | +4.8ms | N/A | +0.0% | OK
2026-08-28T21:11:42.471829+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.1ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (9.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.5ms | +4.7ms | N/A | +0.0% | OK
2026-08-28T21:11:45.517480+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.8ms) | 1.1.1.1 (10.7ms) | 9.9.9.9 (10.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.5ms | +4.6ms | N/A | +0.0% | OK
2026-08-28T21:11:48.576983+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.4ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (9.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.3ms | +4.5ms | N/A | +0.0% | OK
2026-08-28T21:11:51.688266+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.0ms) | 1.1.1.1 (9.5ms) | 9.9.9.9 (9.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.1ms | +4.4ms | N/A | +0.0% | OK
2026-08-28T21:11:53.743817+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.8ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (12.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.1ms | +3.6ms | N/A | +0.0% | OK
2026-08-28T21:11:56.785606+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.9ms) | 1.1.1.1 (9.7ms) | 9.9.9.9 (13.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.0ms | +4.0ms | N/A | +0.0% | OK
2026-08-28T21:11:59.844394+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.8ms) | 1.1.1.1 (11.6ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.1ms | +4.0ms | N/A | +0.0% | OK
2026-08-28T21:12:01.899484+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.5ms) | 1.1.1.1 (7.8ms) | 9.9.9.9 (10.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | -0.0ms | +4.0ms | N/A | +0.0% | OK
2026-08-28T21:12:03.957300+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.3ms) | 1.1.1.1 (7.7ms) | 9.9.9.9 (11.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.1ms | +4.0ms | N/A | +0.0% | OK
2026-08-28T21:12:07.015081+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.6ms) | 1.1.1.1 (9.1ms) | 9.9.9.9 (11.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +4.0ms | N/A | +0.0% | OK
2026-08-28T21:12:10.083290+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.1ms) | 1.1.1.1 (8.9ms) | 9.9.9.9 (16.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +8.2ms | N/A | +0.0% | OK
2026-08-28T21:12:13.144803+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (17.5ms) | 1.1.1.1 (14.4ms) | 9.9.9.9 (12.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +8.0ms | N/A | +0.0% | OK
2026-08-28T21:12:16.203483+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.3ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (11.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +7.8ms | N/A | +0.0% | OK
2026-08-28T21:12:19.324351+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.8ms) | 1.1.1.1 (10.1ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +7.6ms | N/A | +0.0% | OK
2026-08-28T21:12:22.384247+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.4ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (10.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +7.4ms | N/A | +0.0% | OK
2026-08-28T21:12:25.443528+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.5ms) | 1.1.1.1 (11.4ms) | 9.9.9.9 (9.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +7.2ms | N/A | +0.0% | OK
2026-08-28T21:12:28.504266+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.9ms) | 1.1.1.1 (11.7ms) | 9.9.9.9 (11.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.1ms | +7.0ms | N/A | +0.0% | OK
2026-08-28T21:12:31.586605+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.9ms) | 1.1.1.1 (10.7ms) | 9.9.9.9 (36.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +20.3ms | N/A | +0.0% | OK
