# ==============================================================================
# ping_checker telemetry capture log
# script_version: 1.4.0
# schema_version: 4
# started_at: 2026-09-01T22:53:20.064837+02:00
# host: Arjans-MacBook-Pro.local (arm64, macOS 26.6.2 (25G83))
# interface: en0 (Wi-Fi, SSID: <redacted>, BSSID: <redacted>, Channel 100 (5GHz), RSSI: -58 dBm, Noise: -95 dBm, SNR: 37 dB, TxRate: 612.0 Mbps)
# power_profile: Source=Battery, LowPowerMode=Enabled
# keep_awake_mode: assertion
# vpn_agent: Zscaler (ProcessActive=False, TunnelIface=None, VirtualGW=N/A)
# probe_methodology: Dual-Path Concurrent ICMP Echo.
#   - Direct ISP Path: Bound to physical interface using ping -S <Local_IP> (bypasses tunnel).
#   - Tunnel Path: Standard routed ping to target (traverses default route / virtual tunnel).
#   - Overhead Delta: Direct_ISP_RTT - LAN_GW_RTT. Negative values occur during Wi-Fi 802.11 PSM DTIM wake-ups.
# target_pool: 1.1.1.1, 1.0.0.1, 8.8.8.8, 8.8.4.4, 9.9.9.9, 149.112.112.112, 208.67.222.222, 208.67.220.220 (Rotated periodically to prevent remote edge rate-limiting)
# ==============================================================================
Timestamp_ISO,Interface,Medium,Local_IP,LAN_GW_IP,LAN_GW_RTT_ms,Channel,RSSI_dBm,Target_IP,Target_Alias,Target_Pool_Index,Direct_ISP_RTT_ms,Tunnel_RTT_ms,Direct_Route_Verified,Tunnel_Route_Verified,Tunnel_Virtual_Next_Hop,Status,Fault_Domain,Overhead_Delta_p50_ms,Overhead_Delta_p95_ms,Overhead_Baseline_p50_ms,Overhead_Loss_Delta_pct,Overhead_Alert,Overhead_Alert_Reason
2026-09-01T22:53:20.442075+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,43.5,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,11.6,7.8,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-01T22:53:22.535281+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,66.3,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,64.1,63.9,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-01T22:53:24.568318+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,7.4,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,13.6,11.7,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-01T22:53:26.611615+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,10.4,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,13.4,11.4,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-01T22:53:28.653399+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,7.7,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,7.3,8.2,YES,NO,N/A,HEALTHY,None,-1.9,1.5,,0.0,OK,N/A
2026-09-01T22:53:30.728810+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,44.2,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,45.1,43.1,YES,NO,N/A,HEALTHY,None,-2.0,1.5,,0.0,OK,N/A
2026-09-01T22:53:32.780498+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,9.4,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,7.3,7.1,YES,NO,N/A,HEALTHY,None,-1.9,1.4,,0.0,OK,N/A
2026-09-01T22:53:34.810809+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,6.4,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,6.4,8.5,YES,NO,N/A,HEALTHY,None,-1.1,2.7,,0.0,OK,N/A
2026-09-01T22:53:36.855660+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,6.9,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,8.7,6.6,YES,NO,N/A,HEALTHY,None,-1.9,2.7,,0.0,OK,N/A
2026-09-01T22:53:38.904302+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,9.6,100 (5GHz),-58,8.8.4.4,Google-Secondary,3,9.1,6.6,YES,NO,N/A,HEALTHY,None,-2.0,2.6,,0.0,OK,N/A
