# ==============================================================================
# ping_checker telemetry capture log
# script_version: 1.4.0
# schema_version: 4
# started_at: 2026-09-01T22:51:11.227521+02:00
# host: Arjans-MacBook-Pro.local (arm64, macOS 26.6.2 (25G83))
# interface: en0 (Wi-Fi, SSID: <redacted>, BSSID: <redacted>, Channel 100 (5GHz), RSSI: -60 dBm, Noise: -95 dBm, SNR: 35 dB, TxRate: 612.0 Mbps)
# power_profile: Source=Battery, LowPowerMode=Enabled
# keep_awake_mode: qos-vo (WMM Voice DSCP EF tagging)
# vpn_agent: Zscaler (ProcessActive=False, TunnelIface=None, VirtualGW=N/A)
# probe_methodology: Dual-Path Concurrent ICMP Echo.
#   - Direct ISP Path: Bound to physical interface using ping -S <Local_IP> (bypasses tunnel).
#   - Tunnel Path: Standard routed ping to target (traverses default route / virtual tunnel).
#   - Overhead Delta: Direct_ISP_RTT - LAN_GW_RTT. Negative values occur during Wi-Fi 802.11 PSM DTIM wake-ups.
# target_pool: 1.1.1.1, 1.0.0.1, 8.8.8.8, 8.8.4.4, 9.9.9.9, 149.112.112.112, 208.67.222.222, 208.67.220.220 (Rotated periodically to prevent remote edge rate-limiting)
# ==============================================================================
Timestamp_ISO,Interface,Medium,Local_IP,LAN_GW_IP,LAN_GW_RTT_ms,Channel,RSSI_dBm,Target_IP,Target_Alias,Target_Pool_Index,Direct_ISP_RTT_ms,Tunnel_RTT_ms,Direct_Route_Verified,Tunnel_Route_Verified,Tunnel_Virtual_Next_Hop,Status,Fault_Domain,Overhead_Delta_p50_ms,Overhead_Delta_p95_ms,Overhead_Baseline_p50_ms,Overhead_Loss_Delta_pct,Overhead_Alert,Overhead_Alert_Reason
2026-09-01T22:51:11.487154+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.3,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,6.9,7.3,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-01T22:51:13.516653+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.1,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,8.4,7.4,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-01T22:51:15.556387+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.5,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,8.5,7.4,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-01T22:51:17.590122+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,6.3,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,7.6,7.2,YES,NO,N/A,HEALTHY,None,,,,0.0,OK,N/A
2026-09-01T22:51:19.619887+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.8,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,6.9,6.6,YES,NO,N/A,HEALTHY,None,-0.4,1.0,,0.0,OK,N/A
2026-09-01T22:51:21.668709+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,6.7,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,9.5,7.6,YES,NO,N/A,HEALTHY,None,-0.7,1.0,,0.0,OK,N/A
2026-09-01T22:51:23.705049+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.9,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,6.9,6.7,YES,NO,N/A,HEALTHY,None,-0.4,0.8,,0.0,OK,N/A
2026-09-01T22:51:25.751561+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.6,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,8.2,7.2,YES,NO,N/A,HEALTHY,None,-0.7,0.8,,0.0,OK,N/A
2026-09-01T22:51:27.799352+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.2,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,10.3,8.3,YES,NO,N/A,HEALTHY,None,-1.0,0.8,,0.0,OK,N/A
2026-09-01T22:51:29.837476+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,6.1,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,7.1,7.3,YES,NO,N/A,HEALTHY,None,-0.7,0.6,,0.0,OK,N/A
